"Participant nr.,""The control of the game appears to be intuitive"",""The reflection of my controls in the actions of the avatar is accurate"",""The avatar?s actions and their effects on other objects appear coherent"",""I can perceive the power exerted by the avatar when performing actions"",""My control and the avatar?s actions appear consistent"""
1,5,4,4,3,5
2,4,4,4,3,4
3,4,3,4,3,4
4,3,4,4,4,4
5,4,4,3,3,4
6,3,3,3,4,4
7,4,5,3,4,3
8,5,5,5,4,5
9,4,4,3,3,4
10,4,4,3,4,5
11,5,5,5,5,5
12,3,4,5,3,4
13,4,4,5,3,5
14,5,3,5,3,4
15,3,3,3,2,3
16,3,4,3,2,3
17,4,4,5,5,4
18,5,4,4,4,4
19,4,5,4,4,5
20,4,4,4,3,3
21,5,4,3,4,4
22,4,5,4,4,4
23,4,3,2,2,4
24,5,4,4,4,4
25,4,4,4,3,4
